accessor,auth_path,auth_type,role,secret_id_accessor,creation_time,expiration_time,last_updated_time,metadata
ebb1fa73-68db-82ef-8758-45e06d6f015c,approle/,approle,github_actions,ebb1fa73-68db-82ef-8758-45e06d6f015c,2023-08-22T21:01:41.231219845Z,0001-01-01T00:00:00Z,2023-08-22T21:01:41.231219845Z,{}
0d8da848-59e4-379f-32eb-d8c96eebf42c,approle/,approle,github_actions,0d8da848-59e4-379f-32eb-d8c96eebf42c,2023-08-22T21:02:08.168487885Z,0001-01-01T00:00:00Z,2023-08-22T21:02:08.168487885Z,{}
f387b9cd-1b90-0427-2511-f08675279c38,approle/,approle,github_actions,f387b9cd-1b90-0427-2511-f08675279c38,2023-08-22T21:02:04.472687758Z,0001-01-01T00:00:00Z,2023-08-22T21:02:04.472687758Z,{}
8bc60279-a7d9-ad7b-d938-0ff8fbcc4f7f,approle/,approle,jenkins,8bc60279-a7d9-ad7b-d938-0ff8fbcc4f7f,2023-08-22T21:03:08.07410401Z,0001-01-01T00:00:00Z,2023-08-22T21:03:08.07410401Z,{}
